Model                 ,Liczba rdzeni ,Bazowa częstotliwość ,Maksymalna częstotliwość ,TDP   ,Grafika zintegrowana   ,Hyper-Threading ,Cena    ,Socket  ,imgUrl
AMD Ryzen 7 7800X3D   ,            8 ,4.2 GHz              ,5 GHz                    ,120 W ,Radeon                 ,Yes             ,400.00 ,AM5     ,"../../assets/img/procesors/amd.jpg"
AMD Ryzen 5 7600X     ,            6 ,4.7 GHz              ,5.3 GHz                  ,105 W ,Radeon                 ,Yes             ,214.95 ,AM5     ,"../../assets/img/procesors/amd.jpg"
AMD Ryzen 5 5600X     ,            6 ,3.7 GHz              ,4.6 GHz                  ,65 W  ,None                   ,Yes             ,151.22 ,AM4     ,"../../assets/img/procesors/amd.jpg"
Intel Core i9-14900K  ,           24 ,3.2 GHz              ,6 GHz                    ,125 W ,Intel UHD Graphics 770 ,Yes             ,544.99 ,LGA1700,"../../assets/img/procesors/intel.webp"
AMD Ryzen 5 7600      ,            6 ,3.8 GHz              ,5.1 GHz                  ,65 W  ,Radeon                 ,Yes             ,259.99 ,AM5     ,"../../assets/img/procesors/amd.jpg"
AMD Ryzen 5 5600      ,            6 ,3.5 GHz              ,4.4 GHz                  ,65 W  ,None                   ,Yes             ,134.99 ,AM4     ,"../../assets/img/procesors/amd.jpg"
Intel Core i5-12400F  ,            6 ,2.5 GHz              ,4.4 GHz                  ,65 W  ,None                   ,Yes             ,137.99 ,LGA1700,"../../assets/img/procesors/intel.webp"
AMD Ryzen 5 5500      ,            6 ,3.6 GHz              ,4.2 GHz                  ,65 W  ,None                   ,Yes             ,89.99  ,AM4     ,"../../assets/img/procesors/amd.jpg"
AMD Ryzen 7 7700X     ,            8 ,4.5 GHz              ,5.4 GHz                  ,105 W ,Radeon                 ,Yes             ,288.60 ,AM5     ,"../../assets/img/procesors/amd.jpg"
Intel Core i7-13700K  ,           16 ,3.4 GHz              ,5.4 GHz                  ,125 W ,Intel UHD Graphics 770 ,Yes             ,369.99 ,LGA1700,"../../assets/img/procesors/intel.webp"
Intel Core i7-14700K  ,           20 ,3.4 GHz              ,5.6 GHz                  ,125 W ,Intel UHD Graphics 770 ,Yes             ,389.99 ,LGA1700,"../../assets/img/procesors/intel.webp"
AMD Ryzen 7 5800X     ,            8 ,3.8 GHz              ,4.7 GHz                  ,105 W ,None                   ,Yes             ,202.26 ,AM4     ,"../../assets/img/procesors/amd.jpg"
AMD Ryzen 9 7950X3D   ,           16 ,4.2 GHz              ,5.7 GHz                  ,120 W ,Radeon                 ,Yes             ,591.41 ,AM5     ,"../../assets/img/procesors/amd.jpg"
AMD Ryzen 5 3600      ,            6 ,3.6 GHz              ,4.2 GHz                  ,65 W  ,None                   ,Yes             ,110.33 ,AM4     ,"../../assets/img/procesors/amd.jpg"
Intel Core i5-12600K  ,           10 ,3.7 GHz              ,4.9 GHz                  ,125 W ,Intel UHD Graphics 770 ,Yes             ,187.99 ,LGA1700,"../../assets/img/procesors/intel.webp"
AMD Ryzen 7 5700X     ,            8 ,3.4 GHz              ,4.6 GHz                  ,65 W  ,None                   ,Yes             ,169.50 ,AM4     ,"../../assets/img/procesors/amd.jpg"
AMD Ryzen 7 5800X3D   ,            8 ,3.4 GHz              ,4.5 GHz                  ,105 W ,None                   ,Yes             ,293.05 ,AM5     ,"../../assets/img/procesors/amd.jpg"
Intel Core i7-12700K  ,           12 ,3.6 GHz              ,5 GHz                    ,125 W ,Intel UHD Graphics 770 ,Yes             ,253.35 ,LGA1700,"../../assets/img/procesors/intel.webp"
Intel Core i5-12600KF ,           10 ,3.7 GHz              ,4.9 GHz                  ,125 W ,None                   ,Yes             ,160.99 ,LGA1700,"../../assets/img/procesors/intel.webp"
AMD Ryzen 9 7900X     ,           12 ,4.7 GHz              ,5.6 GHz                  ,170 W ,Radeon                 ,Yes             ,383.22 ,AM5     ,"../../assets/img/procesors/amd.jpg"
Intel Core i5-13600K  ,           14 ,3.5 GHz              ,5.1 GHz                  ,125 W ,Intel UHD Graphics 770 ,Yes             ,297.99 ,LGA1700 ,"../../assets/img/procesors/intel.webp"
AMD Ryzen 5 5600G     ,            6 ,3.9 GHz              ,4.4 GHz                  ,65 W  ,Radeon Vega 7          ,Yes             ,127.20 ,AM4     ,"../../assets/img/procesors/amd.jpg"
Intel Core i3-12100F  ,            4 ,3.3 GHz              ,4.3 GHz                  ,58 W  ,None                   ,Yes             ,94.98  ,LGA1700 ,"../../assets/img/procesors/intel.webp"
AMD Ryzen 9 5900X     ,           12 ,3.7 GHz              ,4.8 GHz                  ,105 W ,None                   ,Yes             ,290.86 ,AM4     ,"../../assets/img/procesors/amd.jpg"
Intel Core i5-14600K  ,           14 ,3.5 GHz              ,5.3 GHz                  ,125 W ,Intel UHD Graphics 770 ,Yes             ,309.99 ,LGA1700 ,"../../assets/img/procesors/intel.webp"
