Product Name                 ,Capacity ,Price/GB ,Type     ,Cache   ,Form Factor ,Interface       ,Quantity ,Price,imgUrl
Samsung 980 Pro              ,2 TB     ,0.083   ,SSD      ,2048 MB ,M.2-2280    ,M.2 PCIe 4.0 X4 ,     243 ,165.49,"../../assets/img/disk/samsung1.webp"
Samsung 970 Evo Plus         ,1 TB     ,0.096   ,SSD      ,1024 MB ,M.2-2280    ,M.2 PCIe 3.0 X4 ,     449 ,95.50,"../../assets/img/disk/samsung1.webp"
Kingston NV2                 ,1 TB     ,0.061   ,SSD      ,        ,M.2-2280    ,M.2 PCIe 4.0 X4 ,      63 ,60.80,"../../assets/img/disk/kingston.jpg"
Samsung 980 Pro              ,1 TB     ,0.106   ,SSD      ,1024 MB ,M.2-2280    ,M.2 PCIe 4.0 X4 ,     285 ,105.95,"../../assets/img/disk/samsung1.webp"
Samsung 990 Pro              ,4 TB     ,0.085   ,SSD      ,4096 MB ,M.2-2280    ,M.2 PCIe 4.0 X4 ,      11 ,339.99,"../../assets/img/disk/samsung1.webp"
Samsung 990 Pro              ,2 TB     ,0.090   ,SSD      ,2048 MB ,M.2-2280    ,M.2 PCIe 4.0 X4 ,      73 ,179.99,"../../assets/img/disk/samsung1.webp"
Crucial P3 Plus              ,1 TB     ,0.066   ,SSD      ,        ,M.2-2280    ,M.2 PCIe 4.0 X4 ,      40 ,65.99,"../../assets/img/disk/crucial.webp"
Seagate Barracuda Compute    ,2 TB     ,0.032   ,7200 RPM ,256 MB  ,3.5         ,SATA 6.0 Gb/s   ,     730 ,64.98,"../../assets/img/disk/kingston.jpg"
Crucial P3 Plus              ,2 TB     ,0.058   ,SSD      ,        ,M.2-2280    ,M.2 PCIe 4.0 X4 ,      26 ,115.99,"../../assets/img/disk/crucial.webp"
Western Digital Black SN850X ,2 TB     ,0.078   ,SSD      ,        ,M.2-2280    ,M.2 PCIe 4.0 X4 ,      93 ,156.99,"../../assets/img/disk/westerndigitalssd.jpg"
Crucial P3                   ,1 TB     ,0.069   ,SSD      ,        ,M.2-2280    ,M.2 PCIe 3.0 X4 ,      39 ,68.98,"../../assets/img/disk/crucial.webp"
Samsung 970 Evo Plus         ,500 GB   ,0.140   ,SSD      ,512 MB  ,M.2-2280    ,M.2 PCIe 3.0 X4 ,     231 ,69.90,"../../assets/img/disk/crucial.webp"
Intel 750                    ,1.2 TB   ,2.074   ,SSD      ,        ,            ,PCIe x4         ,       0 ,2488.87,"../../assets/img/disk/samsung2.jpg"
Western Digital Black SN770  ,1 TB     ,0.080   ,SSD      ,        ,M.2-2280    ,M.2 PCIe 4.0 X4 ,      75 ,79.98,"../../assets/img/disk/westerndigitalssd.jpg"
Samsung 870 Evo              ,1 TB     ,0.090   ,SSD      ,1024 MB ,2.5         ,SATA 6.0 Gb/s   ,      61 ,89.99,"../../assets/img/disk/crucial.webp"
Western Digital Black SN850X ,1 TB     ,0.085   ,SSD      ,        ,M.2-2280    ,M.2 PCIe 4.0 X4 ,      53 ,84.99,"../../assets/img/disk/westerndigitalssd.jpg"
Western Digital Black SN770  ,2 TB     ,0.067   ,SSD      ,        ,M.2-2280    ,M.2 PCIe 4.0 X4 ,      49 ,134.99,"../../assets/img/disk/westerndigitalssd.jpg"
TEAMGROUP MP33               ,1 TB     ,0.062   ,SSD      ,        ,M.2-2280    ,M.2 PCIe 3.0 X4 ,      44 ,61.99,"../../assets/img/disk/samsung2.jpg"
Kingston NV2                 ,2 TB     ,0.059   ,SSD      ,        ,M.2-2280    ,M.2 PCIe 4.0 X4 ,      18 ,117.99,"../../assets/img/disk/kingston.jpg"
Seagate BarraCuda            ,4 TB     ,0.021   ,5400 RPM ,256 MB  ,3.5         ,SATA 6.0 Gb/s   ,      70 ,84.99,"../../assets/img/disk/samsung2.jpg"
Samsung 990 Pro              ,1 TB     ,0.110   ,SSD      ,1024 MB ,M.2-2280    ,M.2 PCIe 4.0 X4 ,      27 ,109.99,"../../assets/img/disk/samsung1.webp"
Sabrent Rocket 4 Plus        ,8 TB     ,0.147   ,SSD      ,        ,M.2-2280    ,M.2 PCIe 4.0 X4 ,       1 ,1179.99,"../../assets/img/disk/samsung2.jpg"
Western Digital Blue SN580   ,1 TB     ,0.069   ,SSD      ,        ,M.2-2280    ,M.2 PCIe 4.0 X4 ,       7 ,69.00,"../../assets/img/disk/westerndigitalssd.jpg"
Seagate IronWolf Pro         ,24 TB    ,0.023   ,7200 RPM ,512 MB  ,3.5         ,SATA 6.0 Gb/s   ,       0 ,549.99,"../../assets/img/disk/samsung2.jpg"
Western Digital Black SN850X ,4 TB     ,0.075   ,SSD      ,        ,M.2-2280    ,M.2 PCIe 4.0 X4 ,      35 ,299.99,"../../assets/img/disk/westerndigitalssd.jpg"
Crucial P3                   ,500 GB   ,0.102   ,SSD      ,        ,M.2-2280    ,M.2 PCIe 3.0 X4 ,      10 ,50.98,"../../assets/img/disk/crucial.webp"
Samsung 970 Evo Plus         ,2 TB     ,0.075   ,SSD      ,1024 MB ,M.2-2280    ,M.2 PCIe 3.0 X4 ,     177 ,149.99,"../../assets/img/disk/samsung1.webp"
TEAMGROUP MP33               ,512 GB   ,0.076   ,SSD      ,        ,M.2-2280    ,M.2 PCIe 3.0 X4 ,      36 ,38.99,"../../assets/img/disk/samsung2.jpg"
Western Digital Caviar Blue  ,1 TB     ,0.039   ,7200 RPM ,64 MB   ,3.5         ,SATA 6.0 Gb/s   ,    2386 ,38.99,"../../assets/img/disk/westerndigitalssd.jpg"
Samsung 870 Evo              ,2 TB     ,0.080   ,SSD      ,2048 MB ,2.5         ,SATA 6.0 Gb/s   ,      26 ,159.99,"../../assets/img/disk/samsung1.webp"
Crucial P3 Plus              ,4 TB     ,0.059   ,SSD      ,        ,M.2-2280    ,M.2 PCIe 4.0 X4 ,      11 ,237.99,"../../assets/img/disk/crucial.webp"
Crucial T700                 ,4 TB     ,0.118   ,SSD      ,        ,M.2-2280    ,M.2 PCIe 5.0 X4 ,       3 ,472.99,"../../assets/img/disk/crucial.webp"
Kingston NV2                 ,500 GB   ,0.086   ,SSD      ,        ,M.2-2280    ,M.2 PCIe 4.0 X4 ,       8 ,42.80,"../../assets/img/disk/kingston.jpg"
Samsung 870 QVO              ,8 TB     ,0.071   ,SSD      ,        ,2.5         ,SATA 6.0 Gb/s   ,       3 ,569.54,"../../assets/img/disk/samsung1.webp"
Samsung 980                  ,1 TB     ,0.090   ,SSD      ,        ,M.2-2280    ,M.2 PCIe 3.0 X4 ,      89 ,89.90,"../../assets/img/disk/samsung1.webp"
