Product Name                         ,GPU                       ,VRAM    ,Base Clock (MHz) ,Boost Clock (MHz) ,Color                  ,Length (mm) ,Quantity ,Price   ,imgUrl
MSI GeForce RTX 3060 Ventus 2X 12G   ,GeForce RTX 3060          ,12 GB   ,1320 MHz         ,1777 MHz          ,Black                  ,235         ,26       ,309.99  ,"../../assets/img/gpu/nvidia.jpg"
Gigabyte WINDFORCE OC                ,GeForce RTX 4070          ,12 GB   ,1920 MHz         ,2490 MHz          ,Black                  ,261         ,18       ,549.99  ,"../../assets/img/gpu/nvidia.jpg"
Asus DUAL OC                         ,GeForce RTX 4060          ,8 GB    ,1830 MHz         ,2535 MHz          ,Black                  ,227         ,4        ,304.99  ,"../../assets/img/gpu/nvidia.jpg"
Asus ROG STRIX GAMING OC             ,GeForce RTX 4090          ,24 GB   ,2235 MHz         ,2640 MHz          ,Black                  ,358         ,8        ,2423.63 ,"../../assets/img/gpu/nvidia.jpg"
PNY VCNRTX6000ADA-PB                 ,RTX 6000 Ada Generation   ,48 GB   ,915 MHz          ,2505 MHz          ,Black / Gold           ,267         ,0        ,9999.00 ,"../../assets/img/gpu/radeon.jpg"
Gigabyte GAMING OC                   ,Radeon RX 7800 XT         ,16 GB   ,1295 MHz         ,2565 MHz          ,Black                  ,302         ,12       ,640.81  ,"../../assets/img/gpu/radeon.jpg"
Gigabyte WINDFORCE OC                ,GeForce RTX 4070 Ti SUPER ,16 GB   ,2340 MHz         ,2625 MHz          ,Black                  ,261         ,1        ,799.99  ,"../../assets/img/gpu/nvidia.jpg"
XFX Speedster SWFT 309               ,Radeon RX 6700 XT         ,12 GB   ,2321 MHz         ,2581 MHz          ,Black                  ,304         ,20       ,329.99  ,"../../assets/img/gpu/radeon.jpg"
Gigabyte EAGLE                       ,GeForce RTX 4060 Ti       ,8 GB    ,2310 MHz         ,                  ,Black                  ,272         ,3        ,390.99  ,"../../assets/img/gpu/nvidia.jpg"
ASRock Challenger D                  ,Radeon RX 6600            ,8 GB    ,1626 MHz         ,                  ,Black                  ,269         ,16       ,189.99  ,"../../assets/img/gpu/radeon.jpg"
Gigabyte WINDFORCE OC                ,GeForce RTX 4070 SUPER    ,12 GB   ,1980 MHz         ,2505 MHz          ,Black                  ,261         ,0        ,599.99  ,"../../assets/img/gpu/nvidia.jpg"
MSI VENTUS 2X BLACK OC               ,GeForce RTX 4060          ,8 GB    ,1830 MHz         ,2505 MHz          ,Black                  ,199         ,0        ,294.00  ,"../../assets/img/gpu/nvidia.jpg"
NVIDIA Founders Edition              ,GeForce RTX 4090          ,24 GB   ,2230 MHz         ,2520 MHz          ,Black / Silver         ,304         ,27       ,2189.98 ,"../../assets/img/gpu/nvidia.jpg"
Asus DUAL                            ,GeForce RTX 4070 SUPER    ,12 GB   ,1980 MHz         ,2505 MHz          ,Black                  ,267         ,3        ,599.99  ,"../../assets/img/gpu/nvidia.jpg"
Gigabyte AERO OC                     ,GeForce RTX 4060          ,8 GB    ,1830 MHz         ,                  ,White                  ,281         ,4        ,324.99  ,"../../assets/img/gpu/nvidia.jpg"
XFX GTR XXX                          ,Radeon RX 580             ,8 GB    ,1366 MHz         ,1386 MHz          ,Black / Red            ,270         ,33       ,139.99  ,"../../assets/img/gpu/radeon.jpg"
MSI RTX 3060 Ventus 3X 12G OC        ,GeForce RTX 3060          ,12 GB   ,1320 MHz         ,1807 MHz          ,Black                  ,316         ,18       ,299.99  ,"../../assets/img/gpu/nvidia.jpg"
Sapphire PULSE                       ,Radeon RX 7800 XT         ,16 GB   ,1295 MHz         ,                  ,Black / Red            ,280         ,18       ,499.99  ,"../../assets/img/gpu/radeon.jpg"
XFX Speedster MERC 310 Black Edition ,Radeon RX 7900 XTX        ,24 GB   ,2300 MHz         ,2615 MHz          ,Black / Silver         ,344         ,31       ,929.99  ,"../../assets/img/gpu/radeon.jpg"
PowerColor Fighter                   ,Radeon RX 6600            ,8 GB    ,1626 MHz         ,2491 MHz          ,Black                  ,200         ,7        ,199.99  ,"../../assets/img/gpu/radeon.jpg"
ASRock Phantom Gaming OC             ,Radeon RX 7900 XTX        ,24 GB   ,2300 MHz         ,2615 MHz          ,Black                  ,330         ,4        ,939.99  ,"../../assets/img/gpu/radeon.jpg"
Asus ROG STRIX GAMING OC             ,GeForce RTX 4080 SUPER    ,16 GB   ,2210 MHz         ,2670 MHz          ,Black                  ,358         ,1        ,1249.99 ,"../../assets/img/gpu/nvidia.jpg"
XFX Speedster SWFT 210               ,Radeon RX 7600 XT         ,16 GB   ,1720 MHz         ,2755 MHz          ,Black                  ,272         ,0        ,329.99  ,"../../assets/img/gpu/radeon.jpg"
XFX Speedster QICK 319 Core          ,Radeon RX 6750 XT         ,12 GB   ,2150 MHz         ,2600 MHz          ,Black                  ,323         ,6        ,340.99  ,"../../assets/img/gpu/radeon.jpg"
Gigabyte WINDFORCE OC                ,GeForce RTX 4070 Ti       ,12 GB   ,2310 MHz         ,2625 MHz          ,Black / Silver         ,261         ,2        ,729.99  ,"../../assets/img/gpu/nvidia.jpg"
Gigabyte AERO OC                     ,GeForce RTX 4090          ,24 GB   ,2520 MHz         ,2535 MHz          ,Silver / White         ,342         ,11       ,1849.99 ,"../../assets/img/gpu/nvidia.jpg"
