"Model"                                ,"Socket"  ,"Form Factor" ,"Max Memory" ,"RAM Slots" ,"Color"          ,"Availability" ,"Price"  ,"imgUrl"
"MSI B650 GAMING PLUS WIFI"            ,"AM5"     ,"ATX"         ,"192 GB"     ,          4 ,"Black"          ,(6)            ,179.99  ,"../../assets/img/motherboard/MSI.jpg"
"Asus ROG STRIX B650-A GAMING WIFI"    ,"AM5"     ,"ATX"         ,"192 GB"     ,          4 ,"Black / Silver" ,(23)           ,239.99  ,"../../assets/img/motherboard/asus.jpg"
"MSI B760 GAMING PLUS WIFI"            ,"LGA1700" ,"ATX"         ,"192 GB"     ,          4 ,"Black / Silver" ,(4)            ,159.99  ,"../../assets/img/motherboard/MSI.jpg"
"MSI B550 GAMING GEN3"                 ,"AM4"     ,"ATX"         ,"128 GB"     ,          4 ,"Black"          ,(3)            ,99.99   ,"../../assets/img/motherboard/MSI.jpg"
"MSI PRO Z790-A MAX WIFI"              ,"LGA1700" ,"ATX"         ,"192 GB"     ,          4 ,"Silver / Black" ,(4)            ,239.99  ,"../../assets/img/motherboard/MSI.jpg"
"Gigabyte B650 GAMING X AX"            ,"AM5"     ,"ATX"         ,"192 GB"     ,          4 ,"Black / Gray"   ,(21)           ,190.71  ,"../../assets/img/motherboard/gigabyte.jpg"
"Gigabyte B550M K"                     ,"AM4"     ,"Micro ATX"   ,"128 GB"     ,          4 ,"Brown / Silver" ,(5)            ,84.99   ,"../../assets/img/motherboard/gigabyte.jpg"
"MSI MAG B650 TOMAHAWK WIFI"           ,"AM5"     ,"ATX"         ,"192 GB"     ,          4 ,"Black"          ,(48)           ,199.99  ,"../../assets/img/motherboard/MSI.jpg"
"ASRock B660M Pro RS"                  ,"LGA1700" ,"Micro ATX"   ,"128 GB"     ,          4 ,"Gray / Black"   ,(11)           ,94.99   ,"../../assets/img/motherboard/asrock.jpg"
"MSI PRO B650M-A WIFI"                 ,"AM5"     ,"Micro ATX"   ,"192 GB"     ,          4 ,"Black"          ,(16)           ,151.32  ,"../../assets/img/motherboard/MSI.jpg"
"MSI B450M-A PRO MAX II"               ,"AM4"     ,"Micro ATX"   ,"64 GB"      ,          2 ,"Black"          ,(0)            ,69.98   ,"../../assets/img/motherboard/MSI.jpg"
"ASRock B650M Pro RS WiFi"             ,"AM5"     ,"Micro ATX"   ,"192 GB"     ,          4 ,"Black / Silver" ,(20)           ,149.99  ,"../../assets/img/motherboard/asrock.jpg"
"Asus PRIME B550M-A WIFI II"           ,"AM4"     ,"Micro ATX"   ,"128 GB"     ,          4 ,"Blue / Silver"  ,(11)           ,129.99  ,"../../assets/img/motherboard/asus.jpg"
"Asus ROG STRIX B550-F GAMING WIFI II" ,"AM4"     ,"ATX"         ,"128 GB"     ,          4 ,"Black / Red"    ,(18)           ,189.99  ,"../../assets/img/motherboard/asus.jpg"
"MSI MAG B550 TOMAHAWK MAX WIFI"       ,"AM4"     ,"ATX"         ,"128 GB"     ,          4 ,"Silver / Black" ,(16)           ,169.99  ,"../../assets/img/motherboard/MSI.jpg"
"Gigabyte B650 AORUS ELITE AX"         ,"AM5"     ,"ATX"         ,"192 GB"     ,          4 ,"Black / Silver" ,(66)           ,199.99  ,"../../assets/img/motherboard/gigabyte.jpg"
"ASRock B650M Pro RS"                  ,"AM5"     ,"Micro ATX"   ,"192 GB"     ,          4 ,"Black / Silver" ,(6)            ,134.99  ,"../../assets/img/motherboard/asrock.jpg"
"Gigabyte Z790 AORUS ELITE AX"         ,"LGA1700" ,"ATX"         ,"192 GB"     ,          4 ,"Black"          ,(17)           ,229.99  ,"../../assets/img/motherboard/gigabyte.jpg"
"Asus ROG MAXIMUS Z790 DARK HERO"      ,"LGA1700" ,"ATX"         ,"192 GB"     ,          4 ,"Black"          ,(3)            ,649.99  ,"../../assets/img/motherboard/asus.jpg"
"MSI PRO B650M-P"                      ,"AM5"     ,"Micro ATX"   ,"192 GB"     ,          4 ,"Black / Silver" ,(7)            ,119.99  ,"../../assets/img/motherboard/MSI.jpg"
"Asus ROG STRIX B650E-F GAMING WIFI"   ,"AM5"     ,"ATX"         ,"192 GB"     ,          4 ,"Black"          ,(38)           ,261.62  ,"../../assets/img/motherboard/asus.jpg"
"MSI MAG Z790 TOMAHAWK WIFI"           ,"LGA1700" ,"ATX"         ,"192 GB"     ,          4 ,"Black"          ,(24)           ,229.99  ,"../../assets/img/motherboard/MSI.jpg"
"MSI PRO B550M-VC WIFI"                ,"AM4"     ,"Micro ATX"   ,"128 GB"     ,          4 ,"Black"          ,(36)           ,109.99  ,"../../assets/img/motherboard/MSI.jpg"
"MSI MAG X670E TOMAHAWK WIFI"          ,"AM5"     ,"ATX"         ,"192 GB"     ,          4 ,"Black"          ,(11)           ,279.99  ,"../../assets/img/motherboard/MSI.jpg"
"Asus ROG ZENITH II EXTREME ALPHA"     ,"sTRX4"   ,"EATX"        ,"256 GB"     ,          8 ,"Black / Silver" ,(4)            ,2059.00 ,"../../assets/img/motherboard/asus.jpg"
"MSI PRO Z790-P WIFI"                  ,"LGA1700" ,"ATX"         ,"192 GB"     ,          4 ,"Black / Silver" ,(20)           ,189.99  ,"../../assets/img/motherboard/MSI.jpg"
"Gigabyte B650 AORUS ELITE AX ICE"     ,"AM5"     ,"ATX"         ,"192 GB"     ,          4 ,"Silver"         ,(5)            ,219.99  ,"../../assets/img/motherboard/gigabyte.jpg"
"Asus TUF GAMING B550-PLUS WIFI II"    ,"AM4"     ,"ATX"         ,"128 GB"     ,          4 ,"Black / Gray"   ,(22)           ,154.00  ,"../../assets/img/motherboard/asus.jpg"
"MSI PRO B760-P WIFI DDR4"             ,"LGA1700" ,"ATX"         ,"128 GB"     ,          4 ,"Black"          ,(6)            ,159.99  ,"../../assets/img/motherboard/MSI.jpg"
"MSI B550-A PRO"                       ,"AM4"     ,"ATX"         ,"128 GB"     ,          4 ,"Black / Silver" ,(110)          ,109.99  ,"../../assets/img/motherboard/MSI.jpg"
"Asus ROG STRIX Z790-A GAMING WIFI II" ,"LGA1700" ,"ATX"         ,"192 GB"     ,          4 ,"Black / Silver" ,(0)            ,335.99  ,"../../assets/img/motherboard/asus.jpg"
"Gigabyte X670E AORUS PRO X"           ,"AM5"     ,"ATX"         ,"192 GB"     ,          4 ,"White / Silver" ,(1)            ,299.99  ,"../../assets/img/motherboard/gigabyte.jpg"
