Keyboard Model                  ,Type      ,Switch Type                         ,Color          ,RGB      ,Wireless ,Price
HP HyperX Alloy Core            ,Gaming    ,None                                ,Black          ,No       ,Wired    ,$43.54
Razer Huntsman Mini             ,Mini      ,Razer Purple Optical Clicky         ,White          ,Yes      ,Wired    ,$99.99
Microsoft Natural Desktop 7000  ,Ergonomic ,None                                ,Black / Silver ,No       ,         ,
Corsair K60 RGB Pro             ,Gaming    ,Cherry Viola                        ,Black          ,Yes      ,Wired    ,$54.99
SteelSeries Apex Pro TKL (2023) ,Gaming    ,SteelSeries OmniPoint 2.0           ,Black          ,Yes      ,Wired    ,$239.99
RK Royal Kludge RK61            ,Mini      ,RK Red                              ,White          ,Yes      ,Wired    ,$49.99
Logitech K120                   ,Standard  ,None                                ,Black          ,No       ,Wired    ,$12.49
Microsoft WTA-00001             ,Ergonomic ,None                                ,Black / Silver ,No       ,Wireless ,$769.95
Redragon K552                   ,Gaming    ,Outemu Blue                         ,Black          ,Yes      ,Wired    ,$39.99
Logitech G915 Lightspeed        ,Gaming    ,Logitech GL Tactile                 ,Black          ,No       ,Wireless ,$201.99
Razer Huntsman Mini             ,Mini      ,Razer Red Optical Linear            ,Black          ,Yes      ,Wired    ,$95.80
SteelSeries Apex 100            ,Gaming    ,Blue                                ,Black          ,No       ,Wired    ,$19.44
SteelSeries Apex Pro            ,Gaming    ,OmniPoint Adjustable                ,Black          ,No       ,Wired    ,$199.99
Logitech G413 SE                ,Gaming    ,Kailh LT Brown                      ,Black          ,Yes      ,Wired    ,$54.99
SteelSeries Apex 3 TKL RGB      ,Gaming    ,RGB                                 ,Black          ,Yes      ,Wired    ,$44.98
Corsair K95 RGB PLATINUM        ,Gaming    ,Cherry MX Speed Silver              ,Black          ,No       ,Wired    ,$225.00
Razer BlackWidow V3             ,Gaming    ,Razer Green                         ,Black          ,Yes      ,Wired    ,$99.99
Asus ROG Azoth                  ,Mini      ,ROG NX Red                          ,Black          ,Yes      ,Wired    ,$189.99
Logitech G715                   ,Gaming    ,GX Brown                            ,White          ,Yes      ,Wired    ,149.99
Corsair K55 RGB PRO             ,Gaming    ,Multicolor                          ,Black          ,No       ,Wired    ,$49.88
Razer BlackWidow V4 Pro         ,Gaming    ,Razer Green                         ,Black          ,No       ,Wired    ,$229.99
HP HyperX Alloy Origins Core    ,Gaming    ,HyperX Red                          ,Black          ,Yes      ,Wired    ,$69.98
Logitech G915 TKL               ,Gaming    ,GL Tactile                          ,White          ,Yes      ,Wired    ,$199.99
Verbatim 99201                  ,Standard  ,None                                ,Black          ,No       ,Wired    ,$10.00
Corsair K70 RGB PRO             ,Gaming    ,Cherry MX Red                       ,Black          ,No       ,Wired    ,$124.99
Logitech G PRO                  ,Gaming    ,GX Blue                             ,Black          ,Yes      ,Wired    ,$89.99
Corsair K100 RGB                ,Gaming    ,Corsair OPX                         ,Black          ,No       ,Wired    ,$249.99
Redragon K582 SURARA            ,Gaming    ,Outemu Red                          ,Black          ,No       ,Wired    ,$39.99
Logitech G213 PRODIGY           ,Gaming    ,RGB                                 ,Black          ,No       ,Wired    ,$49.99
Logitech PRO X                  ,Gaming    ,Logitech GX Brown Tactile           ,White          ,Yes      ,Wired    ,169.00
Wooting Two HE                  ,Gaming    ,Lekker linear60                     ,Black          ,No       ,Wired    ,         ,
RK Royal Kludge RK61            ,Mini      ,RK Blue                             ,White          ,Yes      ,Wired    ,$49.99
Corsair K100 AIR Wireless       ,Gaming    ,Cherry MX Ultra Low Profile Tactile ,Black          ,No       ,Wired    ,$229.99
Logitech Wireless Combo MK270   ,Standard  ,None                                ,Black          ,No       ,Wireless ,$27.99
G.Skill KM360                   ,Standard  ,Cherry MX Red                       ,White          ,Yes      ,Wired    ,$49.99
Razer Huntsman V3 Pro           ,Gaming    ,Razer Analog Optical Switch Gen-2   ,Black          ,No       ,Wired    ,$219.99
Asus ROG Strix Scope II 96      ,Gaming    ,ROG NX Snow                         ,Black          ,Yes      ,Wired    ,$149.99
Corsair K70 RGB PRO             ,Gaming    ,Corsair OPX                         ,White          ,No       ,Wired    ,$129.99
Logitech K830                   ,Slim      ,White                               ,Yes            ,Wireless ,$387.67
SteelSeries Apex 7 TKL          ,Gaming    ,SteelSeries QX2 Red                 ,Black          ,Yes      ,Wired    ,$90.50
Razer Huntsman V2               ,Gaming    ,Razer Red Optical Linear            ,Black          ,Yes      ,Wired    ,$109.41
Logitech G512 CARBON            ,Gaming    ,GX Brown                            ,Black          ,No       ,Wired    ,$99.99
Corsair K65 RGB MINI            ,Mini      ,Cherry MX Speed Silver              ,White          ,Yes      ,Wired    ,$79.99
Razer Ornata V3 X               ,Gaming    ,RGB                                 ,Black          ,No       ,Wired    ,$34.99
Corsair K65 60%                 ,Mini      ,Cherry MX Speed Silver              ,Black          ,Yes      ,Wired    ,$102.98
Asceny One                      ,Mini      ,Gateron Blue Optical                ,Black          ,Yes      ,Wired    ,$24.99
Logitech G613                   ,Standard  ,Romer-G Tactile                     ,Black          ,No       ,Wireless ,$73.98
Logitech G13                    ,Gaming    ,RGB                                 ,Black          ,Yes      ,Wired    ,$555.00
SteelSeries Apex Pro Mini       ,Gaming    ,SteelSeries OmniPoint 2.0           ,Black          ,Yes      ,Wired    ,$179.99
Razer Huntsman Mini             ,Mini      ,Razer Purple Optical Clicky         ,Black          ,Yes      ,Wired    ,$99.99
RK Royal Kludge RK61            ,Mini      ,RK Brown                            ,White          ,Yes      ,Wired    ,$49.99
Logitech G19s                   ,Gaming    ,None                                ,Black          ,No       ,Wired    ,$699.06
Razer Huntsman V3 Pro Mini      ,Mini      ,Razer Analog Optical Switch Gen-2   ,Black          ,Yes      ,Wired    ,$178.99
HP HyperX Alloy Origins Core    ,Gaming    ,HyperX Aqua                         ,Black          ,Yes      ,Wired    ,$69.98
Corsair K55 RGB PRO XT          ,Gaming    ,RGB                                 ,Black          ,No       ,Wired    ,$74.98
E-element Z88RGB81WRZ           ,Mini      ,Outemu Blue                         ,Multicolor     ,Yes      ,Wired    ,$34.99
Keychron K2 V2 Aluminum         ,Standard  ,Gateron G Pro Brown                 ,Black / Gray   ,Yes      ,Wireless ,$99.99
Razer Blackwidow V3 - Quartz    ,Gaming    ,Razer Green                         ,Pink           ,No       ,Wired    ,$139.99

