Monitor Model                 ,Size (inches) ,Resolution  ,Refresh Rate (Hz) ,Response Time (ms) ,Panel Type ,Aspect Ratio ,Stock ,Price
LG 32EP950-B                  ,         31.5 ,3840 x 2160 ,               60 ,              1    ,OLED       ,16:9         ,    0 ,$3499.99
Asus TUF Gaming VG27AQ        ,         27.0 ,2560 x 1440 ,              165 ,              1    ,IPS        ,16:9         ,   84 ,$269.00
Asus TUF Gaming VG249Q1A      ,         23.8 ,1920 x 1080 ,              165 ,                   ,IPS        ,16:9         ,    6 ,$149.99
KOORUI 24E3                   ,         24.0 ,1920 x 1080 ,              165 ,              1    ,IPS        ,16:9         ,    1 ,$115.99
AOC C27G2Z                    ,         27.0 ,1920 x 1080 ,              240 ,                   ,VA         ,16:9         ,    4 ,$178.99
Asus ROG Swift Pro PG248QP    ,         24.1 ,1920 x 1080 ,              540 ,              0.2  ,TN         ,16:9         ,    0 ,$882.88
LG 65EP5G-B                   ,         65.0 ,3840 x 2160 ,              120 ,              0.1  ,OLED       ,16:9         ,    0 ,$7446.59
Samsung Odyssey Neo G95NC     ,         57.0 ,7680 x 2160 ,              240 ,              1    ,VA         ,32:9         ,    0 ,$1799.99
MSI G272QPF                   ,         27.0 ,2560 x 1440 ,              170 ,              1    ,IPS        ,16:9         ,    4 ,$219.99
Asus ROG Swift PG32UQX        ,         32.0 ,3840 x 2160 ,              144 ,              4    ,IPS        ,16:9         ,    0 ,$1903.23
Gigabyte G27Q                 ,         27.0 ,2560 x 1440 ,              144 ,                   ,IPS        ,16:9         ,   27 ,$229.99
Alienware AW3423DWF           ,         34.2 ,3440 x 1440 ,              165 ,              0.1  ,QD-OLED    ,21:9         ,   19 ,$799.99
MSI G244F                     ,         23.8 ,1920 x 1080 ,              170 ,              1    ,IPS        ,16:9         ,    3 ,$104.99
Alienware AW3225QF            ,         31.6 ,3840 x 2160 ,              240 ,              0.03 ,QD-OLED    ,16:9         ,    0 ,$1199.99
Gigabyte M27Q                 ,         27.0 ,2560 x 1440 ,              170 ,                   ,IPS        ,16:9         ,   45 ,$269.99
Samsung Odyssey G7            ,         27.0 ,2560 x 1440 ,              240 ,              1    ,VA         ,16:9         ,   26 ,$619.99
Asus ROG Swift OLED PG27AQDM  ,         26.5 ,2560 x 1440 ,              240 ,              0.03 ,OLED       ,16:9         ,    1 ,$899.00
Acer VG271U M3bmiipx          ,         27.0 ,2560 x 1440 ,              180 ,              1    ,IPS        ,16:9         ,    1 ,$169.99
Asus TUF Gaming VG279QM       ,         27.0 ,1920 x 1080 ,              280 ,              1    ,IPS        ,16:9         ,    9 ,$272.00
Acer Nitro XV1 XV271U         ,         27.0 ,2560 x 1440 ,              180 ,              1    ,IPS        ,16:9         ,    4 ,$270.00
Alienware AW2725DF            ,         26.7 ,2560 x 1440 ,              360 ,              0.03 ,QD-OLED    ,16:9         ,    1 ,$899.99
LG UltraGear 27GR75Q-B        ,         27.0 ,2560 x 1440 ,              165 ,              1    ,IPS        ,16:9         ,    2 ,$251.00
Sceptre E205W-16003R          ,         19.5 ,1600 x 900  ,               75 ,              5    ,           ,16:9         ,   12 ,$69.97
Acer SB220Q bi                ,         21.5 ,1920 x 1080 ,               75 ,              4    ,IPS        ,16:9         ,   47 ,$89.49
Dell E2020H                   ,         19.5 ,1600 x 900  ,               60 ,              5    ,TN         ,16:9         ,    0 ,$82.99
Samsung Odyssey G9 G93SC      ,         49.0 ,5120 x 1440 ,              240 ,              0.03 ,QD-OLED    ,32:9         ,    0 ,$1099.99
Samsung Odyssey Neo G8        ,         32.0 ,3840 x 2160 ,              240 ,              1    ,VA         ,16:9         ,    4 ,$999.99
LG 27GP850-B                  ,         27.0 ,2560 x 1440 ,              165 ,              1    ,IPS        ,16:9         ,   22 ,$286.06
MSI MAG 274UPF                ,         27.0 ,3840 x 2160 ,              144 ,              1    ,IPS        ,16:9         ,    1 ,$399.99
Asus ProArt Display PA32UCG-K ,         32.0 ,3840 x 2160 ,              120 ,              5    ,IPS        ,16:9         ,    0 ,$2789.99
Asus TUF Gaming VG27AQ3A      ,         27.0 ,2560 x 1440 ,              180 ,              1    ,IPS        ,16:9         ,    1 ,
Acer KG241Y Sbiip             ,         23.8 ,1920 x 1080 ,              165 ,                   ,VA         ,16:9         ,    1 ,$109.99
Asus ROG Swift 360Hz PG27AQN  ,         27.0 ,2560 x 1440 ,              360 ,              1    ,IPS        ,16:9         ,    1 ,$872.88
Asus TUF Gaming VG27AQML1A    ,         27.0 ,2560 x 1440 ,              260 ,              1    ,IPS        ,16:9         ,    2 ,$349.00
Asus TUF Gaming VG27AQ1A      ,         27.0 ,2560 x 1440 ,              170 ,                   ,IPS        ,16:9         ,   16 ,$264.49
LG 27GR95QE-B                 ,         26.5 ,2560 x 1440 ,              240 ,              0.03 ,OLED       ,16:9         ,    4 ,$796.99
Gigabyte M28U                 ,         28.0 ,3840 x 2160 ,              144 ,              1    ,IPS        ,16:9         ,   11 ,$469.99
MSI Pro MP241X                ,         23.8 ,1920 x 1080 ,               75 ,              4    ,VA         ,16:9         ,    1 ,$99.00
Dell G2724D                   ,         27.0 ,2560 x 1440 ,              165 ,              1    ,IPS        ,16:9         ,    1 ,$299.99
LG 27GN800-B                  ,         27.0 ,2560 x 1440 ,              144 ,              1    ,IPS        ,16:9         ,   14 ,$253.99
MSI G274F                     ,         27.0 ,1920 x 1080 ,              180 ,              1    ,IPS        ,16:9         ,    0 ,$149.99

